,row_id,date_created,year,month_number,month,request_status,service_category,service_description,interaction_channel,service_area,referral_type,neighbourhood_id,neighbourhood,ward,service_category_service_area,service_area_service_category,service_area_service_description,nbhd_latitude,nbhd_longitude,nbhd_location,count,date_closed,status_detail,ward_latitude,ward_longitude,ward_location,CovidAll
50,27011944490106,2020-04-30T19:01:27.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4080,CALLINGWOOD SOUTH,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.500514879202484,-113.62303087373823,"{'latitude': '53.500514879202484', 'longitude': '-113.62303087373823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,,,,True
52,8011944490066,2020-04-30T19:01:08.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5390,RIVER VALLEY WALTERDALE,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53057521763347,-113.51975396063287,"{'latitude': '53.53057521763347', 'longitude': '-113.51975396063287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,,,,True
155,38181844489983,2020-04-30T18:18:38.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6444,LAUREL,12,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.44579914092519,-113.38147041081945,"{'latitude': '53.44579914092519', 'longitude': '-113.38147041081945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,53.427091413961406,-113.41906418721156,"{'latitude': '53.427091413961406', 'longitude': '-113.41906418721156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
286,29311744489862,2020-04-30T17:31:29.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2280,FRASER,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.610382173879735,-113.37478157988564,"{'latitude': '53.610382173879735', 'longitude': '-113.37478157988564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-30T19:01:47.000,Does Not Meet Bylaw Offence Standards,,,,True
657,45591544489466,2020-04-30T15:59:45.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6140,CRAWFORD PLAINS,12,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.44183745503615,-113.40621587784102,"{'latitude': '53.44183745503615', 'longitude': '-113.40621587784102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-30T17:01:20.000,,53.427091413961406,-113.41906418721156,"{'latitude': '53.427091413961406', 'longitude': '-113.41906418721156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
718,27461544489407,2020-04-30T15:46:27.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-30T15:46:28.000,,,,,True
746,21401544489363,2020-04-30T15:40:21.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-30T15:40:21.000,,,,,True
1081,32351444488939,2020-04-30T14:35:32.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-30T14:35:33.000,,,,,True
1965,7591144487940,2020-04-30T11:59:07.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1150,OLIVER,06,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.541982930616356,-113.52399393488137,"{'latitude': '53.541982930616356', 'longitude': '-113.52399393488137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,,,,True
3251,26541843486320,2020-04-29T18:54:26.000,2020,4,April,Open,Bylaw Complaints,COVID - Garage/Yard Sale Restriction,Phone Call,Community Standards - Peace Officers,Referral,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Garage/Yard Sale Restriction,,,,1,,,,,,True
3287,19391843486275,2020-04-29T18:39:19.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2280,FRASER,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.610382173879735,-113.37478157988564,"{'latitude': '53.610382173879735', 'longitude': '-113.37478157988564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-30T12:02:14.000,File Already under Investigation,,,,True
3311,55281843486246,2020-04-29T18:28:55.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1090,DOWNTOWN,06,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.5397665935903,-113.4994206958886,"{'latitude': '53.5397665935903', 'longitude': '-113.4994206958886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T19:30:32.000,,,,,True
3372,20011843486206,2020-04-29T18:01:20.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-29T18:01:21.000,,,,,True
3425,53401743486136,2020-04-29T17:40:53.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1100,EASTWOOD,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.57610461451422,-113.46873040177114,"{'latitude': '53.57610461451422', 'longitude': '-113.46873040177114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,,,,True
3427,42391743486142,2020-04-29T17:39:42.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2511,MAYLIEWAN,03,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.62229021938088,-113.46026446188358,"{'latitude': '53.62229021938088', 'longitude': '-113.46026446188358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T19:01:03.000,,,,,True
3524,57061743486048,2020-04-29T17:06:57.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4090,CANORA,01,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.5461934423508,-113.58421460428093,"{'latitude': '53.5461934423508', 'longitude': '-113.58421460428093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T18:31:11.000,Does Not Meet Bylaw Offence Standards,,,,True
3682,6241643485833,2020-04-29T16:24:06.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4540,TERRA LOSA,01,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53329320017489,-113.62217806446893,"{'latitude': '53.53329320017489', 'longitude': '-113.62217806446893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-29T17:30:56.000,,,,,True
3918,4351543485629,2020-04-29T15:35:04.000,2020,4,April,Open,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6730,TERRACE HEIGHTS,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.542080743587455,-113.43780112956907,"{'latitude': '53.542080743587455', 'longitude': '-113.43780112956907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,,,,,,True
